Voltage(V),Propeller(Inch),Throttle(%),Thrust(g),Current(A),Power Input(W),
Speed(RPM),Efficiency(g/W),Torque(N·m),Power Output(W),Temperature(℃)
54,43,33%,7175,11.3,614.7,1485,11.7,3.37,523.3,/
,,35%,7885,13.1,710.4,1557,11.1,3.7,603,
,,37%,8965,15.9,862.1,1660,10.4,4.21,731.7,
,,39%,9740,18,975.6,1730,10,4.58,829.2,
,,42%,10875,21.2,1148.8,1827,9.5,5.12,978.9,
,,45%,12680,26.6,1442.2,1972,8.8,5.97,1232.5,
,,48%,14000,30.9,1670.7,2071,8.4,6.59,1428.8,
,,51%,15300,35.2,1907.5,2165,8,7.19,1630.3,
,,54%,17305,42.4,2295.7,2303,7.5,8.11,1956.6,
,,57%,18715,47.8,2585.4,2396,7.2,8.76,2197,
,,60%,19810,52.1,2819.9,2466,7,9.26,2390.1,
,,63%,21560,59.3,3211.7,2574,6.7,10.06,2710.2,
,,66%,23030,65.7,3557.4,2662,6.5,10.73,2990.1,
,,69%,24795,73.8,3992.3,2763,6.2,11.54,3339.4,
,,72%,26215,80.5,4358.1,2842,6,12.2,3630.7,
,,75%,27825,88.5,4790.5,2928,5.8,12.95,3971.1,
,,78%,29535,97.4,5270.8,3016,5.6,13.75,4343.3,
,,81%,30945,105.1,5683.9,3087,5.4,14.41,4656.6,
,,84%,31435,107.8,5830.9,3111,5.4,14.63,4766.6,
,,87%,33235,118.2,6389.4,3198,5.2,15.45,5173.2,
,,90%,34920,128.3,6938.7,3279,5,16.18,5554.3,
,,100%,37670,146.1,7895.3,3414,4.8,17.24,6162.9,
